subj,stimulus,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label
User 26,page1,49.956050,1106.604800,621.586000,0.065920,86.011909,
User 26,page1,50.038090,1111.152000,569.772000,0.016600,52.013149,
User 26,page1,50.153810,590.453850,612.987375,0.278320,522.488404,
User 26,page1,50.448730,651.624960,633.494400,0.082030,64.516996,
User 26,page1,50.546880,658.963200,603.596700,0.098630,30.785098,
User 26,page1,50.694820,846.511120,581.581700,0.492680,188.835597,
User 26,page1,51.236820,725.911200,569.110500,0.034180,121.243027,
User 26,page1,51.290040,763.614600,586.711125,0.079590,41.609234,
User 26,page1,51.467770,989.365440,633.137400,0.098150,230.475250,
User 26,page1,51.631840,1092.358909,607.585364,0.180170,106.115792,
User 26,page1,51.911130,560.341950,674.407125,0.262700,536.196972,
User 26,page1,52.240720,728.263200,633.910500,0.114260,172.735413,
User 26,page1,52.435550,902.104000,595.912625,0.197750,177.945110,
User 26,page1,52.666500,1029.420000,641.312318,0.213380,135.168399,
User 26,page1,52.912600,1152.580800,666.288000,0.082520,125.667686,
User 26,page1,53.093260,564.630080,660.719500,0.247560,587.977089,
User 26,page1,53.375000,657.098400,598.531500,0.014160,111.434903,
User 26,page1,53.422360,653.557333,668.160500,0.147460,69.718984,
User 26,page1,53.619630,784.744800,591.769500,0.016110,151.808222,
User 26,page1,53.651860,765.508800,627.418615,0.231440,40.507816,
User 26,page1,53.931640,728.270716,649.026000,0.625490,43.052921,
User 26,page1,54.588870,942.111927,645.762409,0.182130,213.866114,
User 26,page1,54.818360,1067.215800,634.895625,0.098630,125.574942,
User 26,page1,54.933590,1137.900960,685.318200,0.082040,86.826424,
User 26,page1,55.099610,576.741900,679.443188,0.310060,561.189813,
User 26,page1,55.458500,705.199950,666.773625,0.263670,129.081325,
User 26,page1,55.756840,799.483200,638.215500,0.113770,98.513439,
User 26,page1,55.919430,939.273300,654.302250,0.166020,140.712670,
User 26,page1,56.148930,1097.470500,667.852500,0.131830,158.776457,
User 26,page1,56.363770,556.005600,681.913500,0.129880,541.647440,
User 26,page1,56.511720,551.367600,654.123750,0.032710,28.174124,
User 26,page1,56.560550,589.411200,703.395000,0.016110,62.249270,
User 26,page1,56.626950,712.286400,652.855875,0.064460,132.862779,
User 26,page1,56.708010,679.341600,702.229500,0.016110,59.355831,
User 26,page1,56.775880,822.813600,611.556750,0.033200,169.722604,
User 26,page1,56.857910,999.524400,708.484875,0.063970,201.548427,
User 26,page1,56.954590,969.788400,629.307000,0.032230,84.577571,
User 26,page1,57.086910,1102.080000,711.123000,0.015140,155.547180,
User 26,page1,57.184080,573.501600,713.205281,0.279300,528.582501,
User 26,page1,57.495610,696.082800,688.852500,0.049310,124.976832,
User 26,page1,57.610840,818.776000,676.511500,0.098630,123.312293,
User 26,page1,57.758790,917.716800,700.150500,0.016110,101.725534,
User 26,page1,57.791500,913.067400,698.880000,0.131350,4.819864,
User 26,page1,57.939450,904.495200,678.961500,0.017090,21.684770,
User 26,page1,57.988770,995.080800,751.243500,0.016110,115.889769,
User 26,page1,58.070800,993.798400,642.005000,0.098150,109.246027,
User 26,page1,58.186520,990.385200,695.462250,0.032720,53.566104,
User 26,page1,58.235840,1024.699200,720.552000,0.016600,42.508189,
User 26,page1,58.301760,906.050208,686.758380,0.460450,123.367711,
User 26,page1,58.778810,1028.583360,692.577900,0.114740,122.671269,
User 26,page1,58.926760,1134.176400,710.782800,0.164060,107.150868,
User 26,page1,59.171880,558.658800,743.071000,0.116210,576.422619,
User 26,page1,59.303220,547.232700,704.752125,0.131840,39.986147,
User 26,page1,59.486820,680.883323,699.316962,0.210930,133.761093,
User 26,page1,59.714360,634.695600,706.193250,0.032710,46.696778,
User 26,page1,59.763670,709.111200,720.394500,0.032720,75.758544,
User 26,page1,59.812500,657.232800,738.528000,0.017090,54.956275,
User 26,page1,59.895510,844.048800,714.822500,0.049310,188.314016,
